,date_created,user,tweet,user_mention,retweet_count,retweeted,location,followers,following,verfied,hashtag,comment,likes,type
0,Thu Feb 06 17:13:10 +0000 2020,Trevornoah,Let’s go 🔥🎾🔥🎾🔥 @rogerfederer @RafaelNadal @BillGates #MatchInAfrica https://t.co/8je1vCTt6j,rogerfederer,175,False,"New York, NY",10807999,325,True,MatchInAfrica,0,1701,Influencer
0,Thu Feb 06 19:25:16 +0000 2020,Trevornoah,It's. About. To... Go down! @rogerfederer @billgates @RafaelNadal #MatchInAfrica https://t.co/sSFnBzLE1y,rogerfederer,730,False,"New York, NY",10807999,325,True,MatchInAfrica,0,4299,Influencer
0,Fri Feb 07 16:16:43 +0000 2020,Trevornoah,Calm before the storm. #MatchInAfrica @rogerfederer @RafaelNadal @BillGates https://t.co/2sJKSHSMJS,rogerfederer,3674,False,"New York, NY",10807999,325,True,MatchInAfrica,0,28770,Influencer
0,Fri Feb 07 17:20:47 +0000 2020,Trevornoah,They’re not ready. #MatchInAfrica @rogerfederer @RafaelNadal @BillGates https://t.co/WyvAfyZnNV,rogerfederer,594,False,"New York, NY",10807999,325,True,MatchInAfrica,0,5500,Influencer
0,Fri Feb 07 23:54:19 +0000 2020,Trevornoah,To say tonight was a dream come true is an understatement. We helped raise over 3 million dollars to help spur education in Africa. We set a world record for the highest attendance for a tennis match and I got to… https://t.co/qFb38AHtDG,Nan,1462,False,"New York, NY",10807999,325,True,Nan,0,12636,Influencer
0,Sat Feb 08 09:47:00 +0000 2020,Trevornoah,@jbouie Isn’t that why he does well? Most people don’t understand policy but they understand feelings. Tv debates with no fact checking are a perfect platform for this.,jbouie,11,False,"New York, NY",10807999,325,True,Nan,1,183,Influencer
0,Fri Feb 14 15:08:17 +0000 2020,Trevornoah,"Remember that real romance is not only about gifts, it’s about finding someone who makes you want to find yourself. ❤ https://t.co/qddHJ37vR0",Nan,1349,False,"New York, NY",10807999,325,True,Nan,0,18802,Influencer
0,Sat Feb 15 15:20:15 +0000 2020,Trevornoah,"Thank you for spending your Valentine’s Day with me Charlottesville, VA! I definitely felt the love 🙏🏾 #LoudAndClearTour Next stop Albany, NY! https://t.co/C4zvAcwrq3",Nan,45,False,"New York, NY",10807999,325,True,LoudAndClearTour,0,1279,Influencer
0,Sun Feb 16 05:36:32 +0000 2020,Trevornoah,@Travon This article was incorrect.,Travon,2,False,"New York, NY",10807999,325,True,Nan,1,66,Influencer
0,Sun Feb 16 21:25:31 +0000 2020,Trevornoah,"Albany, NY! Thank you to everyone that came to the show last night 🙏🏾 Can’t wait to come back! #LoudAndClearTour https://t.co/BLiS8hCjXi",Nan,35,False,"New York, NY",10807999,325,True,LoudAndClearTour,0,866,Influencer
0,Mon Feb 17 15:11:24 +0000 2020,Trevornoah,Heading back into the work week like... 🎥: @austinkeen47 https://t.co/UqhHRFq537,AustinKeen47,877,False,"New York, NY",10807999,325,True,Nan,0,6814,Influencer
0,Thu Feb 20 22:18:23 +0000 2020,Trevornoah,Thank you Ellen. See you on Monday 😋 https://t.co/g4noplJt5x,Nan,543,False,"New York, NY",10807999,325,True,Nan,0,14512,Influencer
