,Influencer,reach,Popularity
0,gettleman,25666,1336
1,a24media,28227,48
2,andiMakinana,98420,2550
3,AfricaCheck,63479,929
4,JamesCopnall,16913,61
5,oafrica,28417,321
6,PatrickNgowi,22619,543
7,StateAfrica,8,0
8,Moadow,49256,70
9,BrendanSAfrica,28101,223
10,CityTshwane,436468,1147
11,VISI_Mag,51076,210
12,andBeyondSafari,0,0
13,ThisIsAfricaTIA,44637,623
14,sarzss,11033,299
15,TheEIU_Africa,24572,105
16,InvestInAfrica,49525,584
17,malonebarry,25440,417
18,artsouthafrica,-15,4
19,KahnMorbee,17018,124
20,JamalMOsman,93299,1027
21,iamsuede,15982,120
22,mikestopforth,20552,95
23,equal_education,61547,765
24,t_mcconnell,17559,1058
25,forbeesta,16392,229
26,hurricanevaness,0,0
27,BBCKarenAllen,0,0
28,jaxpanik,7474,19
29,thisisafrica,0,0
30,audisouthafrica,214205,1751
31,ONEinAfrica,143215,1641
32,Hamza_Africa,98497,1269
33,drewfhinshaw,0,0
34,africatechie,104514,1157
35,cx73,21063,144
36,ayittey,16965,818
37,MercedesBenz_SA,247528,390
38,africagathering,48312,102
39,okayafrica,103313,2552
40,mary_harper,56251,349
41,savetherhino,79364,1514
42,africamedia_CPJ,487,1
43,TechCentral,79736,217
44,GautengProvince,214097,2910
45,Aynte,191201,571
46,daniel_howden,20998,578
47,rangerdiaries,15835,1848
48,TheStar_news,190978,144
49,schneiderhome,25425,3602
50,Afrinnovator,0,0
51,theafricareport,164624,452
52,CityofJoburgZA,940741,164
53,ThinkAfricaFeed,47140,499
54,AfricaGoodNews,49332,4
55,willintune,17143,822
56,cnbcafrica,239946,311
57,MadeItInAfrica,105264,437
58,AfricaResearch,86563,243
59,FoodBlogCT,58881,41
60,MbuyiseniNdlozi,1072211,29096
61,africaprogress,53076,817
62,IFCAfrica,125817,593
63,HenleyAfrica,69114,235
64,The_New_Age,0,0
65,geoffreyyork,274725,754
66,Entrepreneur_SA,-11,69
67,forbesafrica,215831,495
68,IECSouthAfrica,220878,526
69,art2gee,55854,226
70,JendayiFrazer,29472,4
71,PeterGreste,50851,1894
72,NDOCKenya,151417,759
73,Mo_IbrahimFdn,112870,854
74,ParliamentofRSA,671103,400
75,SandtonCity,55887,102
76,_AfricanUnion,541323,3691
77,gertjohan,48944,264
78,SmithInAfrica,69,1
79,hartleyr,34772,206
80,liveamp,936432,937
81,SamsungSA,572030,162
82,BobSkinstad,102690,42
83,Camfed,157863,818
84,BBCAndrewH,7,0
85,euphonik,1755312,5502
86,UlrichJvV,512128,4707
87,702JohnRobbie,0,0
88,OfficialCSA,1158215,2555
89,MTVbaseAfrica,1415918,2205
90,Computicket,199047,66
91,loyisogola,1081288,790
92,5FM,1163947,767
93,mailandguardian,1059803,527
94,helenzille,1440993,2978
95,Julius_S_Malema,3128762,18792
96,News24,3577103,3466
97,SAPresident,4,0
98,GarethCliff,1974228,2642
99,Trevornoah,10807674,263304
