,Influencer,reach,Popularity
0,@EswatiniGovern1,11236,1015
1,@MalawiGovt,39275,3085
2,@hagegeingob,192411,10086
3,@FinanceSC,-98,18
4,@PresidencyZA,1599116,6670
5,@Dora_Siliya,40826,2191
6,@edmnangagwa,546340,39272
7,@MinSantedj,2807,708
8,@hawelti,65804,10118
9,@StateHouseKenya,1103795,23697
10,@WHO,8105477,25117
11,@M_Farmaajo,424366,38950
12,@SouthSudanGov,2096,938
13,@SudanPMHamdok,370868,64185
14,@TZSpokesperson,3991,1835
15,@KagutaMuseveni,1813428,82595
16,@angola_Mirex,2959,1236
17,@willynyamitwe,102744,2901
18,@Cherif_MZ,18417,3701
19,@Presidence_RDC,340733,15659
20,@PresidentABO,173572,11634
21,@gouvbenin,27988,1188
22,@rochkaborepf,256152,5041
23,@PresidenciaCV,2397,77
24,@AOuattara_PRCI,832681,9362
25,@Presidency_GMB,10740,1938
26,@NAkufoAddo,1507870,139637
27,@President_GN,706,130
28,@USEmbalo,8301,1703
29,@PresidenceMali,227931,4937
30,@CheikhGhazouani,31786,8093
31,@IssoufouMhm,116270,16666
32,@MBuhari,3271919,88183
33,@PaulKagame,1983904,145939
34,@PresidentBio,14897,6613
35,@MSPS_Togo,1130,103
